카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 셋업,1,"하네
[옵션선택] 메리 코튼 셋업_Gray
28%
44,100
쿠폰
554
0 (0)",하네,"하네
[옵션선택] 메리 코튼 셋업_Gray",https://product.29cm.co.kr/catalog/3266735?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/하네/하네옵션선택_메리_코튼_셋업_Gray2844100쿠폰5540_0.jpg,https://img.29cm.co.kr/item/202505/11f02edb908b29ec89300b77c7beee91.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"어라운드율
원숄더 모노키니_2color
5%
108,300
216
5 (1)",어라운드율,"어라운드율
원숄더 모노키니_2color",https://product.29cm.co.kr/catalog/3265144?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/어라운드율/어라운드율원숄더_모노키니_2color51083002165_1.jpg,https://img.29cm.co.kr/item/202505/11f0347df749556489302bf6031c4b0f.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"론론
[SET] COTTON EYELET SCALLOP SHIRT SET UP
15%
150,480
쿠폰
무료배송
290
5 (4)",론론,"론론
[SET] COTTON EYELET SCALLOP SHIRT SET UP",https://product.29cm.co.kr/catalog/3185469?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/론론/론론SET_COTTON_EYELET_SCALLOP_SHIRT_SET_UP15150480쿠폰.jpg,https://img.29cm.co.kr/item/202504/11f01399445ced43b170df59abcc265b.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"파르티멘토 우먼
[SET] LINE JERSEY TRACK TOP SET UP_3COLORS
10%
87,840
무료배송
7,121
4.5 (479)",파르티멘토,"파르티멘토 우먼
[SET] LINE JERSEY TRACK TOP SET UP_3COLORS",https://product.29cm.co.kr/catalog/1694783?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/파르티멘토/파르티멘토_우먼SET_LINE_JERSEY_TRACK_TOP_SET_UP_3COLORS10.jpg,https://img.29cm.co.kr/item/202412/11efb2d2c47d58c4ad1b2b05cd1aeee0.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"앨빈클로
[SET]앨빈클로 포인트라인 오버핏 반팔티 스트링 포인트 우븐 반바지 셋업
32%
42,800
무료배송
1,879
4.7 (132)",앨빈클로,"앨빈클로
[SET]앨빈클로 포인트라인 오버핏 반팔티 스트링 포인트 우븐 반바지 셋업",https://product.29cm.co.kr/catalog/2047170?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/앨빈클로/앨빈클로SET앨빈클로_포인트라인_오버핏_반팔티_스트링_포인트_우븐_반바지_셋업3242800.jpg,https://img.29cm.co.kr/next-product/2025/05/16/2367026fd4eb48dbbafb6720a441188b_20250516115204.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"론론
[SET] TERRY HALF SET UP
24%
75,240
쿠폰
무료배송
4,128
4.5 (152)",론론,"론론
[SET] TERRY HALF SET UP",https://product.29cm.co.kr/catalog/1529873?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/론론/론론SET_TERRY_HALF_SET_UP2475240쿠폰무료배송41284.5_152.jpg,https://img.29cm.co.kr/next-product/2022/04/26/21d6aa6ed50e46c08ff04971d39c0cf8_20220426174234.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"슈퍼서브
테니스 하프 집업 조거 세트
44%
60,210
쿠폰
무료배송
26,885
4.8 (2,296)",슈퍼서브,"슈퍼서브
테니스 하프 집업 조거 세트",https://product.29cm.co.kr/catalog/1211307?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/슈퍼서브/슈퍼서브테니스_하프_집업_조거_세트4460210쿠폰무료배송268854.8_2296.jpg,https://img.29cm.co.kr/next-product/2023/03/03/b8d21fbe1ea34712b3576d680976f9ca_20230303100950.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"얼킨캔버스
스머프 우먼즈 나일론 후드 집업&롱 스커트 셋업_아이보리
56%
79,000
무료배송
2,163
4.5 (28)",얼킨캔버스,"얼킨캔버스
스머프 우먼즈 나일론 후드 집업&롱 스커트 셋업_아이보리",https://product.29cm.co.kr/catalog/2225781?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/얼킨캔버스/얼킨캔버스스머프_우먼즈_나일론_후드_집업롱_스커트_셋업_아이보리5679000무료배송2163.jpg,https://img.29cm.co.kr/item/202309/11ee4d56e9de9ac783bcbbe96de78a63.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"투머치택스
WOOD BEAD WAFFLE PANTS (BROWN)
100,000
74
5 (1)",투머치택스,"투머치택스
WOOD BEAD WAFFLE PANTS (BROWN)",https://product.29cm.co.kr/catalog/3298632?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/투머치택스/투머치택스WOOD_BEAD_WAFFLE_PANTS_BROWN100000745_1.jpg,https://img.29cm.co.kr/item/202505/11f03ad4edd98af5977541a8ec20aff6.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"시야쥬
SI 에센셜 셋업_Charcoal
14%
220,400
쿠폰
3,841
4.5 (56)",시야쥬,"시야쥬
SI 에센셜 셋업_Charcoal",https://product.29cm.co.kr/catalog/2192661?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/시야쥬/시야쥬SI_에센셜_셋업_Charcoal14220400쿠폰38414.5_56.jpg,https://img.29cm.co.kr/item/202309/11ee4ae4d80f8a158a69bd1fc172d32d.jpg?width=400&format=webp
