카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 니트웨어,1,"파사드패턴
[일부옵션 4차 6/9예약배송] 래글런 하프 슬리브 스웻 셔츠_4color
78,000
1,107
5 (36)",파사드패턴,"파사드패턴
[일부옵션 4차 6/9예약배송] 래글런 하프 슬리브 스웻 셔츠_4color",https://product.29cm.co.kr/catalog/3222806?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/파사드패턴/파사드패턴일부옵션_4차_69예약배송_래글런_하프_슬리브_스웻_셔츠_4color7800011.jpg,https://img.29cm.co.kr/item/202504/11f01df966584b39b170a16253d40262.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"폴로 랄프 로렌
여성용 코튼 블렌드 숏 슬리브 스웨터 (BLACK)
199,000
무료배송
7,244
5 (305)",폴로,"폴로 랄프 로렌
여성용 코튼 블렌드 숏 슬리브 스웨터 (BLACK)",https://product.29cm.co.kr/catalog/1899846?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/폴로/폴로_랄프_로렌여성용_코튼_블렌드_숏_슬리브_스웨터_BLACK199000무료배송72445_.jpg,https://img.29cm.co.kr/next_product/2023/05/04/31dbf32d-2fd1-4aa5-81f0-438cc7a07a92_20230504140908.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"유라고
[1차 리오더] Linen button U-neck knit_3colors
5%
64,600
1,388
4.5 (4)",유라고,"유라고
[1차 리오더] Linen button U-neck knit_3colors",https://product.29cm.co.kr/catalog/3258851?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/유라고/유라고1차_리오더_Linen_button_U-neck_knit_3colors56460013.jpg,https://img.29cm.co.kr/item/202505/11f02c95177e7d5e8930a512e3b53c8b.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"유라고
[2차 리오더] Cap sleeve V-neck knit_2colors
83,000
2,913
5 (47)",유라고,"유라고
[2차 리오더] Cap sleeve V-neck knit_2colors",https://product.29cm.co.kr/catalog/3108299?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/유라고/유라고2차_리오더_Cap_sleeve_V-neck_knit_2colors8300029135.jpg,https://img.29cm.co.kr/item/202503/11f0086e24e076398e7b7d086eb06ef5.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"니티드
[곰송이 PICK] (W) 베이직 에센셜 워셔블 카라 니트 RED
32%
43,800
무료배송
657
5 (7)",니티드,"니티드
[곰송이 PICK] (W) 베이직 에센셜 워셔블 카라 니트 RED",https://product.29cm.co.kr/catalog/3279042?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/니티드/니티드곰송이_PICK_W_베이직_에센셜_워셔블_카라_니트_RED3243800무료배송6575.jpg,https://img.29cm.co.kr/item/202505/11f035e54a3dc3dbb170392507700f23.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"오버듀플레어
SOFT MINI CARDIGAN_CREAM
24%
52,785
쿠폰
6,454
4.6 (418)",오버듀플레어,"오버듀플레어
SOFT MINI CARDIGAN_CREAM",https://product.29cm.co.kr/catalog/2604780?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/오버듀플레어/오버듀플레어SOFT_MINI_CARDIGAN_CREAM2452785쿠폰64544.6_418.jpg,https://img.29cm.co.kr/item/202404/11ef00743b8b8474bb6aa72430a8e57e.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"몽돌
[From ITALY] 컴포트 PK 카라 반팔 니트 MDKT102_6 Colors
24%
52,785
쿠폰
무료배송
815
4.8 (15)",몽돌,"몽돌
[From ITALY] 컴포트 PK 카라 반팔 니트 MDKT102_6 Colors",https://product.29cm.co.kr/catalog/3224895?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/몽돌/몽돌From_ITALY_컴포트_PK_카라_반팔_니트_MDKT102_6_Colors24527.jpg,https://img.29cm.co.kr/item/202505/11f0322108525b9289300fa9f3657e7d.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"틸아이다이
Sleeveless set half sleeve eyelet cardigan_Black
5%
64,600
6,943
4.5 (237)",틸아이다이,"틸아이다이
Sleeveless set half sleeve eyelet cardigan_Black",https://product.29cm.co.kr/catalog/2609378?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/틸아이다이/틸아이다이Sleeveless_set_half_sleeve_eyelet_cardigan_Bl.jpg,https://img.29cm.co.kr/next-product/2024/04/24/72b238cf25e240b6bcae95ad9ac64c17_20240424144718.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"닉앤니콜
SQUARE NECK KNIT SLEEVELESS_6 COLOR
40%
23,400
12,468
4.6 (2,318)",닉앤니콜,"닉앤니콜
SQUARE NECK KNIT SLEEVELESS_6 COLOR",https://product.29cm.co.kr/catalog/1132344?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/닉앤니콜/닉앤니콜SQUARE_NECK_KNIT_SLEEVELESS_6_COLOR40234001246.jpg,https://img.29cm.co.kr/next-product/2021/06/11/6f3fb5e6269b44fa9f50080b915d5091_20210611141627.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"제너럴아이디어
[1+1] WOMAN 텐셀 에센셜 하프 니트 풀오버 2TYPE
48%
61,200
쿠폰
502
4.8 (17)",제너럴아이디어,"제너럴아이디어
[1+1] WOMAN 텐셀 에센셜 하프 니트 풀오버 2TYPE",https://product.29cm.co.kr/catalog/3223121?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/제너럴아이디어/제너럴아이디어11_WOMAN_텐셀_에센셜_하프_니트_풀오버_2TYPE4861200쿠폰502.jpg,https://img.29cm.co.kr/item/202504/11f01b7580b515bfb1708b7fabb2908b.jpg?width=400&format=webp
