카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 아우터,1,"룩캐스트
다나 크롭 트위드 자켓 / DANNA CROP TWEED JACKET_2colors
40%
112,800
3,193
5 (324)",룩캐스트,"룩캐스트
다나 크롭 트위드 자켓 / DANNA CROP TWEED JACKET_2colors",https://product.29cm.co.kr/catalog/2048591?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/룩캐스트/룩캐스트다나_크롭_트위드_자켓__DANNA_CROP_TWEED_JACKET_2colors4.jpg,https://img.29cm.co.kr/item/202505/11f03a09cab3258c898af19f52cd8a4b.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"루에브르
Button Point Half Sleeve Jacket SW4MJ773_2color
179,000
3,784
4.5 (152)",루에브르,"루에브르
Button Point Half Sleeve Jacket SW4MJ773_2color",https://product.29cm.co.kr/catalog/2624560?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/루에브르/루에브르Button_Point_Half_Sleeve_Jacket_SW4MJ773_2colo.jpg,https://img.29cm.co.kr/item/202405/11ef17e7f57a1f27bb1479ae03bd2bd2.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"애프터아워즈
LIGHT SHIRRING WINDBREAKER (WHITE)
10%
143,100
쿠폰
1,543
5 (15)",애프터아워즈,"애프터아워즈
LIGHT SHIRRING WINDBREAKER (WHITE)",https://product.29cm.co.kr/catalog/2539987?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/애프터아워즈/애프터아워즈LIGHT_SHIRRING_WINDBREAKER_WHITE10143100쿠폰15.jpg,https://img.29cm.co.kr/item/202505/11f02c8bae7980d0893049bfca357e27.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"던스트
SUMMER TWEED JACKET BLACK_UDJA5B223BK
20%
183,200
2,786
5 (52)",던스트,"던스트
SUMMER TWEED JACKET BLACK_UDJA5B223BK",https://product.29cm.co.kr/catalog/2542807?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/던스트/던스트SUMMER_TWEED_JACKET_BLACK_UDJA5B223BK2018320027.jpg,https://img.29cm.co.kr/item/202503/11f0056565d46805b9e6b1014f7ee9fd.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"엔오르
SINGLE STITCH DETAILED CROP JACKET - CREAM
20%
174,400
6,748
5 (245)",엔오르,"엔오르
SINGLE STITCH DETAILED CROP JACKET - CREAM",https://product.29cm.co.kr/catalog/2063141?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/엔오르/엔오르SINGLE_STITCH_DETAILED_CROP_JACKET_-_CREAM20174.jpg,https://img.29cm.co.kr/item/202504/11f01112a0cdf12db170b30c57acf9cf.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"어반디타입
(크롭핏 or 오버핏 선택) 커브드 래글런 윈드브레이커_5color
47%
41,850
무료배송
6,491
4.8 (335)",어반디타입,"어반디타입
(크롭핏 or 오버핏 선택) 커브드 래글런 윈드브레이커_5color",https://product.29cm.co.kr/catalog/2742820?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/어반디타입/어반디타입크롭핏_or_오버핏_선택_커브드_래글런_윈드브레이커_5color4741850무료배.jpg,https://img.29cm.co.kr/item/202503/11effe59ce019799aceac575c70d1e46.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"론론
DOT PENDANT FRILL HOODIE WIND JUMPER BLACK
15%
123,120
쿠폰
무료배송
12,195
4.5 (103)",론론,"론론
DOT PENDANT FRILL HOODIE WIND JUMPER BLACK",https://product.29cm.co.kr/catalog/3045701?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/론론/론론DOT_PENDANT_FRILL_HOODIE_WIND_JUMPER_BLACK151231.jpg,https://img.29cm.co.kr/item/202501/11efda4e41c4425d852141234766b01d.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"아디다스
에센셜 3S 우븐 윈드브레이커 - 블랙 / HT3399
99,000
무료배송
5,091
4.9 (143)",아디다스,"아디다스
에센셜 3S 우븐 윈드브레이커 - 블랙 / HT3399",https://product.29cm.co.kr/catalog/2716037?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/아디다스/아디다스에센셜_3S_우븐_윈드브레이커_-_블랙__HT339999000무료배송50914.9_.jpg,https://img.29cm.co.kr/item/202407/11ef4271e004e715836259ef3ac7dcf2.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"뉴발란스
NBNAF21503 / UNI 초경량 바람막이 (MIX)
129,000
458
5 (18)",뉴발란스,"뉴발란스
NBNAF21503 / UNI 초경량 바람막이 (MIX)",https://product.29cm.co.kr/catalog/3159556?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/뉴발란스/뉴발란스NBNAF21503__UNI_초경량_바람막이_MIX1290004585_18.jpg,https://img.29cm.co.kr/item/202503/11f00b89cd23b6758e7ba7835e8cabce.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"아우브아워
[3차재입고] tie halter top (gray)
73,000
936
4.8 (5)",아우브아워,"아우브아워
[3차재입고] tie halter top (gray)",https://product.29cm.co.kr/catalog/3267379?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/아우브아워/아우브아워3차재입고_tie_halter_top_gray730009364.8_5.jpg,https://img.29cm.co.kr/item/202505/11f02ca89810f09db1703be02a763962.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"론론
HOODED WINDBREAKER JUMPER WHITE STAR
15%
84,645
쿠폰
무료배송
3,015
4.5 (22)",론론,"론론
HOODED WINDBREAKER JUMPER WHITE STAR",https://product.29cm.co.kr/catalog/3137938?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/론론/론론HOODED_WINDBREAKER_JUMPER_WHITE_STAR1584645쿠폰무료배.jpg,https://img.29cm.co.kr/item/202503/11efff0fcd7a6ef68b63ab9308c57172.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"루에브르
Volume Soft Jumper SW5MM202-9A
179,000
1,173
4.5 (9)",루에브르,"루에브르
Volume Soft Jumper SW5MM202-9A",https://product.29cm.co.kr/catalog/3229334?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/루에브르/루에브르Volume_Soft_Jumper_SW5MM202-9A17900011734.5_9.jpg,https://img.29cm.co.kr/item/202504/11f01e900ca8d3f1b17029b3350aa777.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"아워코모스
comos 1444 shirring sheer wind breaker (white)
10%
103,500
1,263
5 (10)",아워코모스,"아워코모스
comos 1444 shirring sheer wind breaker (white)",https://product.29cm.co.kr/catalog/3218647?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/아워코모스/아워코모스comos_1444_shirring_sheer_wind_breaker_white1.jpg,https://img.29cm.co.kr/item/202504/11f01a960191bc18b1319b1e39a8258c.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"케즈
쉬어 크롭 바람막이 점퍼_KD2JPG2101F_LGY
30%
104,300
3,464
4.5 (29)",케즈,"케즈
쉬어 크롭 바람막이 점퍼_KD2JPG2101F_LGY",https://product.29cm.co.kr/catalog/2415672?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/케즈/케즈쉬어_크롭_바람막이_점퍼_KD2JPG2101F_LGY3010430034644.5_29.jpg,https://img.29cm.co.kr/item/202503/11f0086e9eede177b9e67f22eadf53ed.jpg?width=400&format=webp
